Campaign_ID,Campaign_Name,Channel,Campaign_Type,Start_Date,End_Date,Budget,Spend,Impressions,Clicks,Leads,Qualified_Leads,Customers,Revenue
C001,Google Search Summer Sale,Google Ads,Search,2025-04-13 00:00:00,2025-07-15 00:00:00,66632.37,55791.79,1760908,72121,8574,3193,470,475997.44
C002,Meta New Customer Push,Facebook Ads,Social,2026-03-12 00:00:00,2026-06-09 00:00:00,147736.17,111827.18,2036222,125876,5514,2985,1251,1243884.35
C003,Instagram Product Launch,Instagram,Social,2025-09-28 00:00:00,2025-11-17 00:00:00,78012.99,69435.39,1128732,69546,7413,1854,343,114470.04
C004,YouTube Brand Awareness,YouTube,Video,2025-04-17 00:00:00,2025-06-18 00:00:00,131091.95,90661.35,1575472,88842,8695,3553,1465,1023101.43
C005,LinkedIn B2B Leads,LinkedIn,Social,2025-03-13 00:00:00,2025-06-26 00:00:00,106841.52,105948.9,198984,6811,356,137,31,27581.6
C006,Email Retention Q3,Email,Email,2025-01-21 00:00:00,2025-04-18 00:00:00,75817.4,64172.53,1654384,89811,13676,4432,490,517207.73
C007,Google Display Remarketing,Google Ads,Display,2025-05-02 00:00:00,2025-06-22 00:00:00,16790.77,13872.63,2183643,91286,9662,4737,996,510428.17
C008,Meta Retargeting,Facebook Ads,Social,2026-04-12 00:00:00,2026-08-08 00:00:00,142197.24,145448.41,2380919,197663,23481,10993,3330,1347470.74
C009,Holiday Shopping Promo,Google Ads,Search,2025-08-03 00:00:00,2025-10-20 00:00:00,91043.91,86408.92,1902126,141563,20365,11436,3634,3290123.75
C010,Influencer Awareness,Instagram,Influencer,2025-11-27 00:00:00,2026-03-27 00:00:00,67031.23,53679.96,286330,18760,2050,761,205,206166.67
C011,Cart Recovery Email,Email,Email,2026-04-04 00:00:00,2026-07-01 00:00:00,17155.44,15286.6,1887095,59479,3860,1389,337,180510.45
C012,B2B Webinar Leads,LinkedIn,Lead Gen,2025-03-29 00:00:00,2025-06-08 00:00:00,46170.67,40293.54,2261138,74447,2921,951,263,73140.32
C013,YouTube Product Demo,YouTube,Video,2026-01-08 00:00:00,2026-04-07 00:00:00,47538.44,49232.41,736146,13125,1137,396,114,129884.05
C014,Festival Performance Ads,Facebook Ads,Social,2025-04-10 00:00:00,2025-07-28 00:00:00,107240.58,106433.87,2259818,146315,7972,3995,502,293932.78
C015,SEO Content Campaign,Organic Search,Organic,2025-05-11 00:00:00,2025-06-24 00:00:00,97349.55,93115.67,2381785,54215,4403,1900,414,293156.04
C016,High Value Customer Campaign,Email,Email,2025-11-05 00:00:00,2026-02-04 00:00:00,127481.31,112143.54,438998,20085,2897,808,143,147928.4
C017,Mobile App Acquisition,Google Ads,App,2025-12-10 00:00:00,2026-03-11 00:00:00,38404.23,34452.36,1993400,58048,3992,1454,519,451116.83
C018,Social Video Conversion,Instagram,Social,2026-05-07 00:00:00,2026-07-22 00:00:00,67793.18,70311.32,1229111,95506,3961,1430,358,332911.52
C019,Enterprise ABM,LinkedIn,Lead Gen,2026-02-18 00:00:00,2026-05-20 00:00:00,39601.87,35823.96,1146107,55329,4044,2278,944,371230.88
C020,Year End Mega Sale,Google Ads,Search,2026-01-21 00:00:00,2026-04-11 00:00:00,116973.79,91487.51,501279,27284,4022,2294,522,382248.56
